,ANO_ELEICAO,UF,NUMERO_CANDIDATO,NOME_URNA_CANDIDATO,G_Index,V2,Cand_Name_Numb,MoranI,Above_avg_G,Above_avg_I,Quadrant,Party_Number
8233,2010,MG,2707,MARIA PERPETUO,0.193389446,1740,MARIA PERPETUO - 2707,0.024399458,TRUE,FALSE,Concentrated and Discontiguous,27
8234,2010,MG,2711,JUNIA SOBRINHO,0.445231626,807,JUNIA SOBRINHO - 2711,0.024974474,TRUE,FALSE,Concentrated and Discontiguous,27
8235,2010,MG,2717,WELINTON SCUTARI,0.635778062,969,WELINTON SCUTARI - 2717,0.315681806,TRUE,TRUE,Concentrated and Contiguous,27
8236,2010,MG,2727,DERLI VALADARES,0.509305731,1293,DERLI VALADARES - 2727,0.106657689,TRUE,FALSE,Concentrated and Discontiguous,27
8237,2010,MG,2733,ERASMO DINIZ,0.855827414,8769,ERASMO DINIZ - 2733,0.041456273,TRUE,FALSE,Concentrated and Discontiguous,27
8238,2010,MG,2772,FRANCE LOPES,0.399442534,3279,FRANCE LOPES - 2772,0.426072217,TRUE,TRUE,Concentrated and Contiguous,27
8239,2010,MG,2777,TOPO,0.878514545,7143,TOPO - 2777,0.003801832,TRUE,FALSE,Concentrated and Discontiguous,27
8240,2010,MG,2800,ANTONIO CARLOS,0.203517794,1398,ANTONIO CARLOS - 2800,0.309253851,TRUE,TRUE,Concentrated and Contiguous,28
8241,2010,MG,2804,JOAO BATISTA RIBEIRO,0.430158132,615,JOAO BATISTA RIBEIRO - 2804,0.243796462,TRUE,TRUE,Concentrated and Contiguous,28
8242,2010,MG,2807,CLAUDIO SCHMIDT,0.371796919,148,CLAUDIO SCHMIDT - 2807,0.034878177,TRUE,FALSE,Concentrated and Discontiguous,28
8243,2010,MG,2810,GLAYSON MATIAS,0.395604245,483,GLAYSON MATIAS - 2810,0.017336322,TRUE,FALSE,Concentrated and Discontiguous,28
8244,2010,MG,2811,ANTONIO CLARET RAINHA DA PAZ,0.123067261,3259,ANTONIO CLARET RAINHA DA PAZ - 2811,0.27541973,FALSE,TRUE,Deconcentrated and Contiguous,28
8245,2010,MG,2822,CAPITAO JORGE,0.250285927,744,CAPITAO JORGE - 2822,0.167583523,TRUE,TRUE,Concentrated and Contiguous,28
8246,2010,MG,2828,JORGE PERIQUITO,0.025037131,19545,JORGE PERIQUITO - 2828,0.058204546,FALSE,FALSE,Deconcentrated and Discontiguous,28
8247,2010,MG,2829,ELISEU PERUEIRO,0.599945742,1313,ELISEU PERUEIRO - 2829,0.064428375,TRUE,FALSE,Concentrated and Discontiguous,28
8248,2010,MG,2830,JOSE FRANCISCO,0.137742668,659,JOSE FRANCISCO - 2830,0.117380696,FALSE,TRUE,Deconcentrated and Contiguous,28
